357|黍|黍|ɬuk5|ɬʊk̚5|sluk1|||原文如此，應寫作「粟」字。
358|庶|庶|ɬi33|ɬiː33|sli3|||
359|恕|恕|ʃy33|ʃyː33|syu3|||
360|署|署|ʃy33|ʃyː33|syu3||專署。|
361|薯|薯|ʃy21|ʃyː21|syu4||白薯。|原網作「藷」字。
362|如|如|0y21|jyː21|jyu4|||
363|汝|汝|0y23|jyː24|jyu5|||
364|居|居|ky55|kyː55|gyu1|||
365|舉|举|ky35|kyː35|gyu2|||
366|據|据|ky33|kyː33|gyu3|||
367|鋸|锯|ky33|kyː33|gyu3||鋸子。|
368|圩|圩|hy55|hyː55|hyu1||圩市。|原網作「墟」字。
369|墟|墟|hy55|hyː55|hyu1||墟市。|
370|去|去|hy33|hyː33|hyu3||來去。|
371|渠|渠|kʰy21|kʰyː21|kyu4|||
372|巨|巨|ky22|kyː22|gyu6|||
373|拒|拒|ky22|kyː22|gyu6|||
374|距|距|ky22|kyː22|gyu6|||
375|魚|鱼|0y21|jyː21|jyu4|||
376|漁|渔|0y21|jyː21|jyu4|||
377|語|语|0y23|jyː24|jyu5|||
378|御|御|0y22|jyː22|jyu6|||
379|禦|御|0y22|jyː22|jyu6|||
380|虛|虚|hy55|hyː55|hyu1|||
381|噓|嘘|hy55|hyː55|hyu1||吹噓。|
382|許|许|hy35|hyː35|hyu2|||
383|於|于|0y55|jyː55|jyu1||于此。|
384|淤|淤|0y55|jyː55|jyu1|||
385|余|余|0y21|jyː21|jyu4||姓余。|
386|餘|余|0y21|jyː21|jyu4||剩余。|
387|與|与|0y23|jyː24|jyu5||給與。|
388|譽|誉|0y22|jyː22|jyu6||榮譽。|
389|預|预|0y22|jyː22|jyu6|||
390|豫|豫|0y22|jyː22|jyu6|||
391|夫|夫|fu55|fuː55|fu1|||
392|膚|肤|fu55|fuː55|fu1|||
393|府|府|fu35|fuː35|fu2|||
394|腑|腑|fu35|fuː35|fu2|||
395|俯|俯|fu35|fuː35|fu2|||
396|甫|甫|pʰu35|pʰuː35|pu2|||
397|斧|斧|fu35|fuː35|fu2|||
398|付|付|fu22|fuː22|fu6|||
399|賦|赋|fu22|fuː22|fu6|||
400|傅|傅|fu22|fuː22|fu6|||
401|敷|敷|fu55|fuː55|fu1|||
402|俘|俘|fu55|fuː55|fu1||俘虜。|
403|孵|孵|fu55|fuː55|fu1||孵小雞。|
404|麩|麸|fu55|fuː55|fu1||麥麩子。|
405|撫|抚|fu35|fuː35|fu2|||
406|殕|殕|pʰu23|pʰuː24|pu5||食上生白毛。|
407|赴|赴|fu22|fuː22|fu6|||
408|訃|讣|fu22|fuː22|fu6|||
409|符|符|fu21|fuː21|fu4|||
410|扶|扶|fu21|fuː21|fu4|||
411|芙|芙|fu21|fuː21|fu4||芙蓉。|
412|父|父|fu22|fuː22|fu6|||
413|釜|釜|fu35|fuː35|fu2|||
414|腐|腐|fu22|fuː22|fu6|||
415|輔|辅|pʰu35|pʰuː35|pu2|||
416|附|附|fu22|fuː22|fu6|||
417|無|无|mu21|muː21|mu4|||
418|巫|巫|mu55|muː55|mu1|||
419|誣|诬|mu55|muː55|mu1|||
420|武|武|mu23|muː24|mu5|||
421|舞|舞|mu23|muː24|mu5|||
422|侮|侮|mu23|muː24|mu5|||
423|鵡|鹉|mu23|muː24|mu5||鸚鵡。|
424|務|务|mu22|muː22|mu6|||
425|霧|雾|mu22|muː22|mu6|||
426|縷|缕|lɐu35|lɐu35|lau2||絲縷。|
427|屢|屡|lui23|luːi24|lui5|||
428|趨|趋|kʰy55|kʰyː55|kyu1|||
429|取|取|tʃʰy35|t͡ʃʰyː35|cyu2|||
430|趣|趣|tʃʰy33|t͡ʃʰyː33|cyu3|||
431|聚|聚|tʃy22|t͡ʃyː22|zyu6|||
432|須|须|ʃy55|ʃyː55|syu1||必須。|
433|鬚|须|ʃy55|ʃyː55|syu1||胡須。|
434|需|需|ʃy55|ʃyː55|syu1|||
435|誅|诛|tʃy55|t͡ʃyː55|zyu1|||
436|蛛|蛛|tʃy55|t͡ʃyː55|zyu1|||
437|株|株|tʃy55|t͡ʃyː55|zyu1|||
438|拄|拄|tʃy35|t͡ʃyː35|zyu2||拄拐扙。|
439|駐|驻|tʃy33|t͡ʃyː33|zyu3|||
440|註|注|tʃy33|t͡ʃyː33|zyu3|||
441|廚|厨|tʃʰy21|t͡ʃʰyː21|cyu4|||
442|柱|柱|tʃʰy23|t͡ʃʰyː24|cyu5|||
443|住|住|tʃy22|t͡ʃyː22|zyu6|||
444|雛|雏|tʃʰy21|t͡ʃʰyː21|cyu4|||
445|數|数|ʃu35|ʃuː35|su2||動詞。|
446|數|数|ʃu33|ʃuː33|su3||名詞。|
447|朱|朱|tʃy55|t͡ʃyː55|zyu1||姓朱。|
448|硃|朱|tʃy55|t͡ʃyː55|zyu1||朱砂。|
449|珠|珠|tʃy55|t͡ʃyː55|zyu1|||
450|主|主|tʃy35|t͡ʃyː35|zyu2|||
451|注|注|tʃy33|t͡ʃyː33|zyu3|||
452|蛀|蛀|tʃy33|t͡ʃyː33|zyu3|||
453|鑄|铸|tʃy33|t͡ʃyː33|zyu3|||
454|樞|枢|kʰy55|kʰyː55|kyu1|||
455|戍|戍|ʃy33|ʃyː33|syu3|||
456|輸|输|ʃy55|ʃyː55|syu1||運輸。|
457|殊|殊|ʃy21|ʃyː21|syu4|||
458|豎|竖|ʃy22|ʃyː22|syu6|||
459|樹|树|ʃy22|ʃyː22|syu6|||
460|儒|儒|0y21|jyː21|jyu4|||
461|乳|乳|0y23|jyː24|jyu5|||
462|拘|拘|kʰy55|kʰyː55|kyu1|||
463|駒|驹|ky55|kyː55|gyu1|||
464|俱|俱|ky22|kyː22|gyu6|||
465|矩|矩|ky35|kyː35|gyu2||規矩。|
466|句|勾|ŋɐu55|ŋɐu55|ngau1||勾當。|同「勾」字。
467|句|句|ky33|kyː33|gyu3|||
468|區|区|kʰy55|kʰyː55|kyu1||區域。|標音誤爲[ky22]，此地應爲[kʰy55]。
469|驅|驱|kʰy55|kʰyː55|kyu1|||
470|瞿|瞿|tʃʰy21|t͡ʃʰyː21|cyu4|||
471|具|具|ky22|kyː22|gyu6|||
472|懼|惧|ky22|kyː22|gyu6|||
473|愚|愚|0y21|jyː21|jyu4|||
474|虞|虞|0y21|jyː21|jyu4|||
475|娛|娱|0y21|jyː21|jyu4|||
476|遇|遇|0y22|jyː22|jyu6|||
477|寓|寓|0y22|jyː22|jyu6|||
478|吁|吁|0y55|jyː55|jyu1|||
479|迂|迂|0y21|jyː21|jyu4|||
480|于|于|0y55|jyː55|jyu1|||
481|盂|盂|0y21|jyː21|jyu4|||
482|雨|雨|0y23|jyː24|jyu5|||
483|宇|宇|0y23|jyː24|jyu5|||
484|禹|禹|0y23|jyː24|jyu5|||
485|羽|羽|0y23|jyː24|jyu5|||
486|芋|芋|0y21|jyː21|jyu4|||
487|榆|榆|0y21|jyː21|jyu4|||
488|逾|逾|0y21|jyː21|jyu4|||
489|愉|愉|0y21|jyː21|jyu4|||
490|愈|愈|0y21|jyː21|jyu4||病癒。|
491|喻|喻|0y21|jyː21|jyu4|||
492|裕|裕|0y22|jyː22|jyu6|||
493|獃|呆|tai55|taːi55|daai1|||
494|戴|戴|tai33|taːi33|daai3|||
495|胎|胎|tʰɔi55|tʰɔːi55|toi1|||
496|台|台|tʰɔi21|tʰɔːi21|toi4|||
497|颱|台|tʰɔi21|tʰɔːi21|toi4|||
498|檯|台|tʰɔi21|tʰɔːi21|toi4|||
